C = 1, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 1, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 1, sigma = 10, misclassifications = 28, accuracy = 51.72%
C = 1, sigma = 100, misclassifications = 25, accuracy = 56.90%
C = 1, sigma = 1000, misclassifications = 23, accuracy = 60.34%
C = 10, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 10, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 10, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 10, sigma = 100, misclassifications = 18, accuracy = 68.97%
C = 10, sigma = 1000, misclassifications = 23, accuracy = 60.34%
C = 100, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 100, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 100, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 100, sigma = 100, misclassifications = 20, accuracy = 65.52%
C = 100, sigma = 1000, misclassifications = 23, accuracy = 60.34%
C = 1000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 1000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 1000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 1000, sigma = 100, misclassifications = 25, accuracy = 56.90%
C = 1000, sigma = 1000, misclassifications = 22, accuracy = 62.07%
C = 10000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 10000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 10000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 10000, sigma = 100, misclassifications = 28, accuracy = 51.72%
C = 10000, sigma = 1000, misclassifications = 29, accuracy = 50.00%
C = 100000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 100000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 100000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 100000, sigma = 100, misclassifications = 28, accuracy = 51.72%
C = 100000, sigma = 1000, misclassifications = 22, accuracy = 62.07%
C = 1000000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 1000000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 1000000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 1000000, sigma = 100, misclassifications = 31, accuracy = 46.55%
C = 1000000, sigma = 1000, misclassifications = 24, accuracy = 58.62%
C = 10000000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 10000000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 10000000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 10000000, sigma = 100, misclassifications = 31, accuracy = 46.55%
C = 10000000, sigma = 1000, misclassifications = 25, accuracy = 56.90%
C = 100000000, sigma = 0, misclassifications = 28, accuracy = 51.72%
C = 100000000, sigma = 1, misclassifications = 28, accuracy = 51.72%
C = 100000000, sigma = 10, misclassifications = 31, accuracy = 46.55%
C = 100000000, sigma = 100, misclassifications = 31, accuracy = 46.55%
C = 100000000, sigma = 1000, misclassifications = 27, accuracy = 53.45%
Validation: 
Value of BEST C = 10, value of BEST sigma = 100, amount of misclassifications = 18, Accuracy = 68.97%
